J,itnr
nan,0
6.737190464870009,1
5.931593568604956,2
5.901154707081388,3
5.895228586444221,4
5.890094943117332,5
5.885004158443646,6
5.8799324804914175,7
5.874879094762575,8
5.869843911806386,9
5.864826865312929,10
5.859827889932181,11
5.85484692057229,12
5.849883892376587,13
5.844938740722034,14
5.840011401218361,15
5.835101809707226,16
5.830209902261388,17
5.825335615183862,18
5.820478885007099,19
5.815639648492152,20
5.810817842627869,21
5.806013404630044,22
5.801226271940628,23
5.796456382226898,24
5.7917036733806535,25
5.786968083517396,26
5.782249550975539,27
5.777548014315596,28
5.7728634123193805,29
5.768195683989212,30
5.76354476854712,31
5.758910605434047,32
5.7542931343090755,33
5.749692295048628,34
5.745108027745684,35
5.740540272709014,36
5.735988970462381,37
5.731454061743792,38
5.726935487504702,39
5.722433188909257,40
5.717947107333529,41
5.713477184364749,42
5.709023361800549,43
5.704585581648198,44
5.700163786123856,45
5.695757917651815,46
5.691367918863752,47
5.686993732597982,48
5.682635301898707,49
5.678292570015291,50
5.673965480401506,51
5.6696539767147955,52
5.665358002815553,53
5.66107750276638,54
5.656812420831359,55
5.6525627014753335,56
5.648328289363181,57
5.644109129359092,58
5.639905166525856,59
5.635716346124135,60
5.631542613611772,61
5.627383914643053,62
5.623240195068026,63
5.619111400931778,64
5.61499747847374,65
5.610898374126984,66
5.606814034517532,67
5.602744406463646,68
5.598689436975159,69
5.594649073252759,70
5.590623262687323,71
5.586611952859217,72
5.5826150915376225,73
5.578632626679852,74
5.574664506430678,75
5.570710679121643,76
5.566771093270403,77
5.562845697580051,78
5.558934440938442,79
5.555037272417544,80
5.551154141272755,81
5.547284996942256,82
5.543429789046352,83
5.539588467386808,84
5.535760981946203,85
5.531947282887275,86
5.5281473205522715,87
5.524361045462306,88
5.520588408316713,89
5.5168293599924025,90
5.513083851543225,91
5.5093518341993315,92
5.5056332593665385,93
5.501928078625699,94
5.498236243732065,95
5.494557706614666,96
5.490892419375678,97
5.487240334289805,98
5.483601403803651,99
5.479975580535112,100
5.476362817272741,101
5.472763066975152,102
5.469176282770399,103
5.465602417955359,104
5.462041425995138,105
