J,itnr
0,0
30.441824313618177,1
28.907301505003474,2
27.463468994377898,3
26.104966985130297,4
24.82675244462923,5
23.62408038347177,6
22.492486241128724,7
21.427769312598155,8
20.425977154543734,9
19.483390913030334,10
18.596511518390372,11
17.76204669597363,12
16.976898744561723,13
16.23815303707826,14
15.543067200907066,15
14.889060937653591,16
14.273706444558398,17
13.694719402005129,18
13.14995049366676,19
12.637377427811186,20
12.155097430147677,21
11.701320180346082,22
11.274361166007763,23
10.872635429416837,24
10.494651683858432,25
10.139006777662534,26
9.80438048542281,27
9.489530607054453,28
9.19328835649767,29
8.91455402294879,30
8.65229288851265,31
8.405531387121684,32
8.173353490462926,33
7.954897307496701,34
7.749351884943779,35
7.555954196863733,36
7.3739863121492215,37
7.202772729421334,38
7.041677869432668,39
6.890103715669329,40
6.747487594393404,41
6.613300085884887,42
6.487043059129225,43
6.36824782265482,44
6.2564733846560525,45
6.151304815943014,46
6.052351709640915,47
5.9592467319212705,48
5.871644258384855,49
5.789219091034445,50
5.71166525107444,51
5.638694843056074,52
5.570036986151594,53
5.505436808590167,54
5.44465450152262,55
5.387464428802768,56
5.333654289380656,57
5.283024329198392,58
5.235386599662902,59
5.190564259942958,60
5.148390920500461,61
5.1087100254190165,62
5.071374271236885,63
5.036245060126919,64
5.003191985393551,65
4.9720923473769245,66
4.94283069796708,67
4.91529841203736,68
4.889393284206085,69
4.865019149429638,70
4.84208552601848,71
4.82050727975092,72
4.800204307837774,73
4.781101241564694,74
4.763127166508354,75
4.746215359287843,76
4.730303039874064,77
4.715331138537641,78
4.701244076570199,79
4.687989559965033,80
4.675518385291233,81
4.663784257040653,82
4.652743615769684,83
4.64235547639783,84
4.63258127606285,85
4.62338473096767,86
4.614731701687612,87
4.606590066438008,88
4.598929601831655,89
4.5917218706835365,90
4.584940116446273,91
4.578559163884432,92
4.572555325618995,93
4.566906314195045,94
4.561591159346252,95
4.55659013014902,96
4.551884661777346,97
4.547457286586438,98
4.5432915692693125,99
4.53937204584563,100
4.535684166256286,101
4.532214240350672,102
4.52894938706608,103
4.525877486610608,104
4.522987135472054,105
4.520267604085789,106
4.5177087970044525,107
4.515301215421622,108
4.513035921910337,109
4.510904507245569,110
4.50889905918749,111
4.507012133109642,112
4.5052367243629945,113
4.503566242273275,114
4.501994485675058,115
4.500515619891795,116
4.499124155076322,117
4.497814925831444,118
4.496583072034939,119
4.495424020797808,120
4.49433346948879,121
4.493307369762136,122
4.4923419125293265,123
4.4914335138189765,124
4.490578801472408,125
4.489774602625522,126
4.489017931930487,127
4.488305980473529,128
4.487636105347675,129
4.487005819841761,130
4.486412784209246,131
4.485854796982613,132
4.485329786801073,133
4.484835804721263,134
4.484371016982368,135
4.483933698198843,136
4.483522224955426,137
4.483135069780693,138
4.482770795476787,139
4.482428049784242,140
4.482105560362127,141
4.481802130064858,142
4.481516632498158,143
4.4812480078376495,144
4.480995258894578,145
4.480757447414041,146
4.480533690592004,147
4.480323157798149,148
4.480125067492412,149
4.479938684323744,150
4.479763316400343,151
4.479598312721216,152
4.479443060759526,153
4.47929698418877,154
4.479159540743347,155
4.479030220205549,156
4.478908542511534,157
4.478794055969235,158
4.478686335581586,159
4.478584981468847,160
4.478489617384171,161
4.4783998893169,162
4.478315464178404,163
4.478236028565594,164
4.4781612875975005,165
4.4780909638206206,166
4.478024796178955,167
4.4779625390449125,168
4.477903961307491,169
4.477848845514351,170
4.477796987064586,171
4.4777481934492025,172
4.4777022835364875,173
4.477659086899615,174
4.477618443183979,175
4.477580201511939,176
4.477544219922717,177
4.4775103648454175,178
4.477478510603187,179
4.477448538946671,180
4.477420338615056,181
4.4773938049230395,182
4.477368839372221,183
4.477345349285455,184
4.4773232474628175,185
4.477302451857899,186
4.47728288527323,187
4.477264475073715,188
4.477247152916991,189
4.47723085449973,190
4.4772155193189285,191
4.477201090447314,192
4.4771875143220115,193
4.4771747405457125,194
4.477162721699594,195
4.477151413167282,196
4.477140772969228,197
4.47713076160688,198
4.477121341916046,199
4.477112478928941,200
4.477104139744373,201
4.477096293405614,202
4.477088910785476,203
4.477081964478186,204
4.477075428697659,205
4.4770692791817615,206
4.477063493102251,207
4.477058048980042,208
4.477052926605454,209
4.477048106963204,210
4.477043572161813,211
4.477039305367182,212
4.477035290740114,213
4.477031513377507,214
4.477027959257029,215
4.477024615185072,216
4.477021468747768,217
4.477018508264908,218
4.477015722746585,219
4.477013101852394,220
4.47701063585305,221
4.477008315594269,222
4.477006132462781,223
4.477004078354362,224
4.477002145643754,225
4.4770003271563406,226
4.476998616141534,227
4.476997006247703,228
4.476995491498596,229
4.476994066271162,230
4.476992725274669,231
4.47699146353107,232
4.476990276356515,233
4.47698915934398,234
4.476988108346884,235
4.476987119463716,236
4.476986189023542,237
4.476985313572385,238
4.47698448986039,239
4.476983714829774,240
4.476982985603467,241
4.476982299474435,242
4.476981653895628,243
4.47698104647053,244
4.476980474944256,245
4.476979937195183,246
4.476979431227081,247
4.476978955161693,248
4.47697850723177,249
4.476978085774506,250
4.4769776892253645,251
4.476977316112279,252
4.476976965050176,253
4.476976634735844,254
4.476976323943089,255
4.476976031518184,256
4.476975756375594,257
4.47697549749393,258
4.476975253912171,259
4.476975024726095,260
4.476974809084916,261
4.47697460618813,262
4.476974415282544,263
4.47697423565948,264
4.476974066652137,265
4.476973907633129,266
4.476973758012144,267
4.476973617233758,268
4.476973484775377,269
4.476973360145286,270
4.476973242880832,271
4.476973132546709,272
4.4769730287333305,273
4.4769729310553235,274
4.476972839150087,275
4.47697275267645,276
4.476972671313405,277
4.476972594758915,278
4.476972522728797,279
4.476972454955658,280
4.476972391187911,281
4.476972331188841,282
4.476972274735712,283
4.476972221618965,284
4.476972171641417,285
4.476972124617543,286
4.476972080372778,287
4.476972038742879,288
4.476971999573308,289
4.47697196271866,290
4.476971928042119,291
4.476971895414963,292
4.476971864716072,293
4.476971835831485,294
4.476971808653977,295
4.476971783082661,296
4.476971759022608,297
4.476971736384505,298
4.476971715084314,299
4.476971695042964,300
4.476971676186059,301
4.476971658443595,302
4.476971641749712,303
4.476971626042436,304
4.476971611263462,305
4.476971597357925,306
4.476971584274204,307
4.476971571963732,308
4.476971560380809,309
4.476971549482435,310
4.476971539228157,311
4.476971529579906,312
4.476971520501867,313
4.476971511960339,314
4.476971503923615,315
4.476971496361863,316
4.476971489247011,317
4.476971482552645,318
4.476971476253918,319
4.4769714703274435,320
4.476971464751225,321
4.47697145950456,322
4.476971454567974,323
4.476971449923139,324
4.476971445552815,325
4.476971441440777,326
4.47697143757176,327
4.476971433931402,328
4.476971430506189,329
4.476971427283406,330
4.47697142425109,331
4.476971421397983,332
4.476971418713496,333
4.476971416187662,334
4.476971413811103,335
4.476971411575,336
4.476971409471051,337
4.476971407491446,338
4.4769714056288334,339
4.476971403876302,340
4.4769714022273455,341
4.476971400675843,342
4.476971399216033,343
4.476971397842499,344
4.476971396550141,345
4.476971395334161,346
4.476971394190044,347
4.476971393113546,348
4.476971392100669,349
4.476971391147652,350
4.4769713902509585,351
4.47697138940726,352
4.476971388613424,353
4.476971387866504,354
4.476971387163726,355
4.476971386502483,356
4.4769713858803195,357
4.4769713852949256,358
4.476971384744129,359
4.476971384225884,360
4.476971383738267,361
4.476971383279468,362
4.476971382847785,363
4.476971382441613,364
4.476971382059448,365
4.476971381699867,366
4.476971381361538,367
4.476971381043206,368
4.4769713807436835,369
4.476971380461866,370
4.476971380196702,371
4.47697137994721,372
4.476971379712463,373
4.47697137949159,374
4.47697137928377,375
4.476971379088233,376
4.476971378904251,377
4.476971378731142,378
4.476971378568265,379
4.476971378415014,380
4.476971378270819,381
4.476971378135147,382
4.476971378007493,383
4.476971377887383,384
4.476971377774372,385
4.47697137766804,386
4.476971377567991,387
4.476971377473856,388
4.476971377385284,389
4.476971377301947,390
4.476971377223535,391
4.476971377149757,392
4.47697137708034,393
4.476971377015024,394
4.4769713769535695,395
4.476971376895746,396
4.476971376841341,397
4.476971376790151,398
4.476971376741986,399
