theta_0,theta_1,itnr
-1.6880241572033017,0.9712405344178237,326
-1.6920038502432304,0.9716403377506925,327
-1.695976369505115,0.9720394203997442,328
-1.6999417279203783,0.9724377836640803,329
-1.7038999383971323,0.9728354288404608,330
-1.707851013820221,0.973232357223308,331
-1.7117949670512624,0.973628570104711,332
-1.71573181092869,0.9740240687744296,333
-1.7196615582677952,0.9744188545198987,334
-1.723584221860768,0.9748129286262328,335
-1.7274998144767397,0.9752062923762296,336
-1.731408348861824,0.9755989470503743,337
-1.7353098377391583,0.9759908939268442,338
-1.7392042938089454,0.9763821342815124,339
-1.743091729748495,0.9767726693879522,340
-1.7469721582122641,0.977162500517441,341
-1.7508455918318997,0.9775516289389647,342
-1.7547120432162784,0.977940055919222,343
-1.7585715249515483,0.9783277827226277,344
-1.7624240496011698,0.9787148106113178,345
-1.7662696297059566,0.979101140845153,346
-1.770108277784116,0.979486774681723,347
-1.77394000633129,0.9798717133763506,348
-1.7777648278205966,0.980255958182096,349
-1.7815827547026695,0.98063951034976,350
-1.7853937994056985,0.9810223711278895,351
-1.7891979743354711,0.98140454176278,352
-1.7929952918754117,0.9817860234984812,353
-1.7967857643866227,0.9821668175767997,354
-1.8005694042079243,0.9825469252373038,355
-1.8043462236558947,0.9829263477173273,356
-1.8081162350249103,0.983305086251974,357
-1.8118794505871858,0.9836831420741207,358
-1.815635882592814,0.9840605164144222,359
-1.819385543269806,0.9844372105013148,360
-1.8231284448241303,0.9848132255610205,361
-1.8268645994397532,0.9851885628175507,362
-1.8305940192786783,0.9855632234927107,363
-1.8343167164809857,0.9859372088061034,364
-1.8380327031648724,0.9863105199751329,365
-1.8417419914266906,0.986683158215009,366
-1.845444593340988,0.9870551247387511,367
-1.8491405209605467,0.9874264207571918,368
-1.8528297863164227,0.9877970474789811,369
-1.8565124014179843,0.9881670061105906,370
-1.8601883782529525,0.9885362978563166,371
-1.8638577287874387,0.988904923918285,372
-1.8675204649659847,0.9892728854964544,373
-1.8711765987116007,0.9896401837886206,374
-1.8748261419258045,0.9900068199904203,375
-1.878469106488661,0.9903727952953345,376
-1.882105504258819,0.9907381108946934,377
-1.885735347073552,0.9911027679776796,378
-1.8893586467487953,0.9914667677313317,379
-1.8929754150791847,0.9918301113405489,380
-1.896585663838095,0.9921927999880944,381
-1.9001894047776786,0.9925548348545994,382
-1.9037866496289035,0.9929162171185668,383
-1.9073774101015915,0.9932769479563754,384
-1.910961697884456,0.9936370285422832,385
-1.9145395246451407,0.9939964600484313,386
-1.9181109020302571,0.9943552436448486,387
-1.921675841665423,0.9947133804994541,388
-1.9252343551552993,0.9950708717780621,389
-1.9287864540836286,0.9954277186443851,390
-1.9323321500132729,0.995783922260038,391
-1.9358714544862508,0.9961394837845419,392
-1.9394043790237754,0.9964944043753273,393
-1.9429309351262916,0.9968486851877391,394
-1.9464511342735138,0.9972023273750388,395
-1.9499649879244632,0.9975553320884093,396
-1.9534725075175046,0.9979077004769586,397
-1.9569737044703845,0.9982594336877233,398
-1.9604685901802676,0.998610532865672,399
-1.9639571760237742,0.9989609991537096,400
-1.9674394733570169,0.9993108336926809,401
-1.970915493515638,0.9996600376213741,402
-1.9743852478148467,1.0000086120765248,403
-1.9778487475494546,1.000356558192819,404
-1.9813060039939139,1.0007038771028982,405
-1.984757028402353,1.0010505699373613,406
-1.9882018320086143,1.0013966378247696,407
-1.9916404260262899,1.0017420818916503,408
-1.9950728216487579,1.0020869032624995,409
-1.9984990300492198,1.0024311030597866,410
-2.001919062380736,1.0027746824039572,411
-2.0053329297762628,1.0031176424134378,412
-2.008740643348688,1.0034599842046386,413
-2.0121422141908676,1.0038017088919569,414
-2.015537653375661,1.004142817587782,415
-2.018926971955968,1.0044833114024971,416
-2.0223101809647654,1.004823191444485,417
-2.025687291415141,1.0051624588201293,418
-2.0290583143003307,1.00550111463382,419
-2.0324232605937538,1.005839159987956,420
-2.0357821412490495,1.0061765959829492,421
-2.039134967200112,1.006513423717228,422
-2.042481749361125,1.0068496442872403,423
-2.0458224986266003,1.0071852587874581,424
-2.0491572258714092,1.0075202683103803,425
-2.0524859419508217,1.0078546739465364,426
-2.055808657700539,1.0081884767844902,427
-2.0591253839367307,1.008521677910843,428
-2.0624361314560686,1.008854278410238,429
-2.0657409110357627,1.0091862793653623,430
-2.069039733433596,1.0095176818569525,431
-2.07233260938796,1.0098484869637963,432
-2.075619549617888,1.0101786957627366,433
-2.078900564823093,1.0105083093286757,434
-2.082175665684,1.0108373287345784,435
-2.08544486286178,1.0111657550514748,436
-2.0887081669983885,1.0114935893484647,437
-2.091965588716597,1.011820832692721,438
-2.095217138620028,1.0121474861494921,439
-2.09846282729319,1.0124735507821072,440
-2.1017026653015125,1.012799027651978,441
-2.1049366631913795,1.0131239178186033,442
-2.108164831490164,1.0134482223395718,443
-2.111387180706263,1.013771942270566,444
-2.11460372132913,1.014095078665365,445
-2.117814463829311,1.0144176325758494,446
-2.121019418658478,1.0147396050520026,447
-2.1242185962494626,1.0150609971419156,448
-2.1274120070162903,1.0153818098917904,449
-2.1305996613542137,1.0157020443459428,450
-2.1337815696397477,1.0160217015468063,451
-2.1369577422307025,1.0163407825349353,452
-2.140128189466217,1.0166592883490084,453
-2.1432929216667933,1.016977220025832,454
-2.1464519491343292,1.0172945786003436,455
-2.149605282152153,1.0176113651056147,456
-2.1527529309850553,1.0179275805728554,457
-2.155894905879325,1.018243226031416,458
-2.159031217062779,1.0185583025087923,459
-2.1621618747448,1.0188728110306269,460
-2.165286889116365,1.0191867526207143,461
-2.1684062703500824,1.0195001283010032,462
-2.1715200286002228,1.0198129390916004,463
-2.174628174002753,1.0201251860107736,464
-2.1777307166753683,1.0204368700749549,465
-2.180827666717527,1.0207479922987446,466
-2.1839190342104806,1.021058553694914,467
-2.1870048292173094,1.0213685552744083,468
-2.1900850617829537,1.0216779980463508,469
-2.1931597419342466,1.0219868830180456,470
-2.1962288796799467,1.0222952111949812,471
-2.1992924850107713,1.0226029835808335,472
-2.2023505678994284,1.0229102011774691,473
-2.205403138300649,1.023216864984949,474
-2.2084502061512206,1.0235229760015305,475
-2.2114917813700172,1.0238285352236731,476
-2.2145278738580343,1.0241335436460386,477
-2.2175584934984194,1.0244380022614963,478
-2.220583650156505,1.024741912061126,479
-2.22360335367984,1.025045274034221,480
-2.226617613898222,1.0253480891682911,481
-2.22962644062373,1.0256503584490657,482
-2.2326298436507557,1.025952082860498,483
-2.2356278327560353,1.026253263384767,484
-2.238620417698681,1.0265539010022813,485
-2.2416076082202143,1.0268539966916828,486
-2.2445894140445963,1.0271535514298484,487
-2.247565844878259,1.027452566191895,488
-2.2505369104101387,1.0277510419511808,489
-2.2535026203117057,1.0280489796793102,490
-2.256462984236997,1.0283463803461357,491
-2.2594180118226475,1.0286432449197622,492
-2.26236771268792,1.0289395743665486,493
-2.2653120964347386,1.0292353696511127,494
-2.268251172647719,1.0295306317363329,495
-2.2711849508941993,1.029825361583352,496
-2.2741134407242716,1.0301195601515802,497
-2.2770366516708136,1.0304132283986989,498
-2.2799545932495184,1.0307063672806624,499
-2.2828672749589267,1.0309989777517024,500
-2.2857747062804568,1.03129106076433,501
-2.288676896678436,1.0315826172693394,502
-2.2915738556001313,1.0318736482158113,503
-2.2944655924757797,1.032164154551115,504
-2.2973521167186197,1.0324541372209128,505
-2.3002334377249216,1.0327435971691619,506
-2.303109564874018,1.0330325353381176,507
-2.3059805075283335,1.0333209526683376,508
-2.3088462750334173,1.033608850098683,509
-2.3117068767179716,1.0338962285663238,510
-2.3145623218938827,1.0341830890067396,511
-2.3174126198562517,1.0344694323537242,512
-2.3202577798834243,1.034755259539388,513
-2.3230978112370213,1.0350405714941615,514
-2.325932723161968,1.0353253691467976,515
-2.3287625248865247,1.0356096534243748,516
-2.3315872256223176,1.0358934252523015,517
-2.334406834564368,1.0361766855543169,518
-2.3372213608911214,1.0364594352524954,519
-2.3400308137644794,1.0367416752672496,520
-2.3428352023298276,1.0370234065173325,521
-2.3456345357160666,1.0373046299198414,522
-2.348428823035641,1.03758534639022,523
-2.35121807338457,1.0378655568422621,524
-2.354002295842475,1.0381452621881142,525
-2.356781499472612,1.0384244633382789,526
-2.359555693321899,1.0387031612016169,527
-2.3623248864209456,1.038981356685351,528
-2.3650890877840833,1.0392590506950687,529
-2.3678483064093947,1.039536244134725,530
-2.370602551278742,1.039812937906645,531
-2.3733518313577973,1.040089132911528,532
-2.3760961555960702,1.0403648300484494,533
-2.378835532926939,1.0406400302148637,534
-2.381569972267678,1.0409147343066083,535
-2.3842994825194883,1.041188943217905,536
-2.3870240725675242,1.0414626578413637,537
-2.3897437512809248,1.041735879067986,538
-2.392458527512841,1.042008607787167,539
-2.395168410100466,1.0422808448866987,540
-2.3978734078650623,1.042552591252772,541
-2.4005735296119917,1.0428238477699816,542
-2.4032687841307427,1.0430946153213267,543
-2.405959180194961,1.0433648947882153,544
-2.408644726562476,1.043634687050466,545
-2.4113254319753312,1.0439039929863123,546
-2.414001305159811,1.0441728134724042,547
-2.41667235482647,1.044441149383811,548
-2.419338589670162,1.0447090015940252,549
-2.4220000183700656,1.0449763709749644,550
-2.4246566495897164,1.045243258396975,551
-2.4273084919770316,1.045509664728834,552
-2.4299555541643407,1.0457755908377522,553
-2.4325978447684125,1.0460410375893778,554
-2.4352353723904825,1.0463060058477982,555
-2.4378681456162825,1.046570496475543,556
-2.4404961730160672,1.0468345103335874,557
-2.443119463144643,1.0470980482813548,558
-2.4457380245413947,1.0473611111767187,559
-2.4483518657303147,1.0476236998760067,560
-2.45096099522003,1.0478858152340025,561
-2.4535654215038303,1.0481474581039494,562
-2.456165153059694,1.0484086293375523,563
-2.458760198350319,1.0486693297849807,564
-2.461350565823147,1.048929560294872,565
-2.4639362639103926,1.0491893217143338,566
-2.466517301029071,1.0494486148889461,567
-2.469093685581025,1.0497074406627656,568
-2.471665425952951,1.0499657998783265,569
-2.474232530516429,1.0502236933766451,570
-2.4767950076279486,1.0504811219972212,571
-2.4793528656289343,1.0507380865780418,572
-2.4819061128457762,1.0509945879555826,573
-2.4844547575898543,1.0512506269648123,574
-2.4869988081575665,1.0515062044391936,575
-2.489538272830356,1.0517613212106878,576
-2.4920731598747383,1.0520159781097556,577
-2.4946034775423267,1.0522701759653612,578
-2.497129234069861,1.0525239156049746,579
-2.4996504376792332,1.052777197854574,580
-2.5021670965775145,1.0530300235386487,581
-2.504679218956982,1.0532823934802016,582
-2.507186812995146,1.0535343085007525,583
-2.509689886854775,1.05378576942034,584
-2.512188448683924,1.0540367770575247,585
-2.514682506615961,1.0542873322293915,586
-2.5171720687695913,1.0545374357515525,587
-2.5196571432488866,1.0547870884381496,588
-2.52213773814331,1.055036291101857,589
-2.524613861527742,1.055285044553884,590
-2.5270855214625083,1.055533349603978,591
-2.5295527259934047,1.0557812070604262,592
-2.5320154831517234,1.0560286177300593,593
-2.5344738009542795,1.056275582418253,594
-2.5369276874034377,1.0565221019289317,595
-2.5393771504871365,1.0567681770645707,596
-2.541822198178916,1.0570138086261986,597
-2.5442628384379438,1.0572589974134,598
-2.546699079209039,1.0575037442243178,599
-2.549130928422701,1.057748049855657,600
-2.5515583939951316,1.0579919151026862,601
-2.5539814838282653,1.05823534075924,602
-2.556400205809791,1.0584783276177225,603
-2.55881456781318,1.0587208764691094,604
-2.5612245776977107,1.0589629881029503,605
-2.563630243308494,1.0592046633073717,606
-2.5660315724765,1.0594459028690795,607
-2.5684285730185823,1.0596867075733616,608
-2.570821252737504,1.0599270782040897,609
-2.573209619421962,1.0601670155437235,610
-2.575593680846615,1.0604065203733115,611
-2.5779734447721063,1.0606455934724945,612
-2.58034891894509,1.0608842356195078,613
-2.582720111098256,1.0611224475911842,614
-2.585087028950355,1.0613602301629559,615
-2.5874496802062246,1.0615975841088572,616
-2.589808072556813,1.0618345102015276,617
-2.5921622136792055,1.0620710092122134,618
-2.594512111236648,1.0623070819107707,619
-2.5968577728785727,1.0625427290656682,620
-2.5991992062406233,1.0627779514439888,621
-2.6015364189446797,1.0630127498114332,622
-2.603869418598882,1.0632471249323217,623
-2.606198212797657,1.0634810775695966,624
-2.6085228091217405,1.0637146084848252,625
-2.610843215138204,1.0639477184382018,626
-2.6131594384004786,1.0641804081885504,627
-2.6154714864483792,1.0644126784933277,628
-2.61777936680813,1.064644530108624,629
-2.6200830869923886,1.0648759637891674,630
-2.622382654500269,1.0651069802883253,631
-2.624678076817369,1.0653375803581073,632
-2.6269693614157923,1.065567764749167,633
-2.629256515754173,1.0657975342108053,634
-2.6315395472777006,1.0660268894909721,635
-2.633818463418144,1.0662558313362696,636
-2.6360932715938756,1.0664843604919532,637
-2.6383639792098954,1.0667124777019357,638
-2.640630593657855,1.0669401837087886,639
-2.6428931223160825,1.0671674792537453,640
-2.645151572549605,1.0673943650767024,641
-2.647405951710174,1.067620841916223,642
-2.649656267136288,1.0678469105095392,643
-2.6519025261532185,1.0680725715925536,644
-2.6541447360730315,1.068297825899843,645
-2.6563829041946128,1.0685226741646592,646
-2.6586170378036904,1.0687471171189327,647
-2.6608471441728603,1.0689711554932748,648
-2.663073230561608,1.0691947900169796,649
-2.6652953042163334,1.0694180214180262,650
-2.667513372370374,1.0696408504230823,651
-2.669727442244029,1.069863277757505,652
-2.6719375210445815,1.0700853041453442,653
-2.6741436159663237,1.0703069303093442,654
-2.6763457341905785,1.0705281569709473,655
-2.678543882885724,1.0707489848502947,656
-2.680738069207217,1.0709694146662294,657
-2.682928300297616,1.071189447136299,658
-2.685114583286604,1.0714090829767575,659
-2.6872969252910113,1.0716283229025678,660
-2.689475333414841,1.0718471676274042,661
-2.6916498147492893,1.0720656178636538,662
-2.693820376372771,1.0722836743224204,663
