theta_0,theta_1,itnr
0,0,0
0.17517405154639165,0.13779123400088622,1
0.3450928815463916,0.2714487309817458,2
0.5099141466463917,0.4010965030531797,3
0.6697907737933917,0.5268548419624705,4
0.8248711021259817,0.6488404307044825,5
0.975299020608594,0.7671664517842341,6
1.1212141015367278,0.8819426922315934,7
1.2627517300370177,0.9932756454655318,8
1.4000432296822989,1.101268610102452,9
1.5332159843382216,1.2060217858002646,10
1.6623935563544667,1.307632366227143,11
1.7876958012102244,1.4061946292412149,12
1.9092389787203095,1.5018000243648646,13
2.027135860905092,1.594537257634805,14
2.141495836624331,1.6844923739066469,15
2.252425013071993,1.7717488366903336,16
2.360026314226225,1.8563876055905097,17
2.46439957634583,1.9384872114236806,18
2.565641640601847,2.0181238290818566,19
2.663846442930183,2.095371348210287,20
2.7591051011886694,2.1703014417648645,21
2.851505999699401,2.242983632512805,22
2.941134871254811,2.313485357538307,23
3.0280748766635583,2.381872030813044,24
3.1124066819100435,2.4482071038895388,25
3.194208532999134,2.512552124773739,26
3.273556328555552,2.574966795031413,27
3.350523690245277,2.635509025181357,28
3.42518203108431,2.6942349884268024,29
3.4976006216981728,2.7511991727748843,30
3.567846654593619,2.806454431592524,31
3.6359853065022025,2.8600520326456342,32
3.702079798853528,2.9120417056671513,33
3.766191456434314,2.962471688498023,34
3.8283797642876762,3.0113887718439685,35
3.8887024229054377,3.0588383426895356,36
3.9472154017646663,3.1048644264097356,37
4.003972991258118,3.1495097276183297,38
4.059027853066766,3.192815669790666,39
4.112431069021155,3.234822433697832,40
4.1642321884969125,3.2755689946877835,41
4.214479274388397,3.315093158848036,42
4.263218947703137,3.353431598083481,43
4.310496430818434,3.390619884141863,44
4.356355589440272,3.4266925216184934,45
4.400838973303456,3.4616829799708246,46
4.443987855650744,3.495623724572586,47
4.485842271527614,3.5285462468362945,48
4.526441054928177,3.5604810934320916,49
4.565821874826724,3.591457894630015,50
4.604021270128314,3.6215053917920006,51
4.6410746835708565,3.6506514640391265,52
4.677016494610123,3.6789231541188387,53
4.711880051318211,3.70634669349616,54
4.7456977013250565,3.7329475266921612,55
4.778500821831696,3.7587503348922824,56
4.810319848723137,3.7837790588464,57
4.841184304807834,3.8080569210818944,58
4.871122827209991,3.8316064474503237,59
4.900163193940083,3.8544494880277003,60
4.928332349668272,3.8766072373877556,61
4.955656430724616,3.898100254267009,62
4.98216078934927,3.918948480639885,63
5.0078700172151835,3.939171260221575,64
5.03280796824512,3.958787356415814,65
